node	pagerank
7619	0.00159260
9482	0.00137144
4583	0.00125711
1876	0.00122097
4818	0.00110044
4833	0.00092801
8128	0.00091256
11	0.00085886
9837	0.00084088
9033	0.00082909
2230	0.00082904
9202	0.00081842
9995	0.00081432
8664	0.00080989
9438	0.00080650
9376	0.00080196
753	0.00079702
1494	0.00077792
7038	0.00076982
8041	0.00076644
1463	0.00075952
7478	0.00075795
5081	0.00075597
7546	0.00074256
9836	0.00073663
1609	0.00073175
7183	0.00072409
8005	0.00072078
8221	0.00071861
6889	0.00071305
9935	0.00070264
7694	0.00070151
9244	0.00069711
9626	0.00069657
8368	0.00069483
9692	0.00069209
5590	0.00069108
6184	0.00069017
8488	0.00068843
8442	0.00068153
9872	0.00068151
6102	0.00067995
8054	0.00067961
9911	0.00067751
8802	0.00067232
5742	0.00067056
8625	0.00066959
3538	0.00066622
519	0.00066342
7479	0.00066095
9732	0.00065667
328	0.00065594
2347	0.00065528
6224	0.00064731
6471	0.00064620
7916	0.00064534
4961	0.00064377
9522	0.00064264
9623	0.00063512
7335	0.00063499
9611	0.00062724
9293	0.00062609
4670	0.00062557
9260	0.00062381
7212	0.00061887
2516	0.00061581
3015	0.00061485
992	0.00061316
120	0.00061299
2146	0.00061160
9189	0.00060901
2661	0.00060821
606	0.00060532
9447	0.00060213
3921	0.00060057
8336	0.00059823
5993	0.00059660
8116	0.00059429
3044	0.00059164
1871	0.00059161
7700	0.00059043
1129	0.00058604
8817	0.00058506
4938	0.00058421
7265	0.00058400
2507	0.00058307
9234	0.00058170
944	0.00058066
7034	0.00057790
3657	0.00057682
480	0.00057338
3435	0.00057332
8193	0.00056587
5938	0.00056292
6798	0.00056145
9728	0.00056134
2304	0.00055740
4067	0.00055562
8022	0.00055321
2837	0.00055230
3839	0.00055196
8499	0.00054771
5198	0.00054549
5194	0.00054274
4681	0.00054221
8171	0.00054087
2497	0.00054042
4369	0.00053984
7491	0.00053850
8950	0.00053584
1369	0.00053512
7245	0.00053446
9847	0.00053439
3641	0.00053239
5813	0.00053100
9265	0.00053092
8327	0.00053075
5050	0.00052973
5310	0.00052846
9926	0.00052623
9417	0.00052054
8158	0.00051998
9792	0.00051951
474	0.00051719
9207	0.00051715
9918	0.00051634
6029	0.00051488
9869	0.00051396
520	0.00051381
9383	0.00051182
6363	0.00051101
7193	0.00051088
2223	0.00050985
6628	0.00050973
8318	0.00050927
9581	0.00050867
1678	0.00050732
5161	0.00050689
5669	0.00050588
2693	0.00050253
8294	0.00050250
9077	0.00050156
3813	0.00050084
6572	0.00049980
6022	0.00049953
2073	0.00049949
9058	0.00049877
8796	0.00049801
5285	0.00049556
9966	0.00049554
9958	0.00049434
7055	0.00049401
9079	0.00049381
6543	0.00049181
6658	0.00049156
9431	0.00049141
7520	0.00049128
2662	0.00048988
3578	0.00048968
9516	0.00048960
9272	0.00048892
2290	0.00048756
8377	0.00048684
9324	0.00048599
5846	0.00048575
9589	0.00048564
6484	0.00048496
9856	0.00048400
828	0.00048358
9876	0.00048238
1284	0.00048199
8441	0.00048176
919	0.00048134
8725	0.00048123
4005	0.00048044
7140	0.00047940
9608	0.00047931
4455	0.00047819
7822	0.00047771
5183	0.00047658
6939	0.00047634
8280	0.00047433
4055	0.00047401
9372	0.00047376
972	0.00047272
4496	0.00047134
8388	0.00047081
4488	0.00047069
8674	0.00046995
9118	0.00046981
7408	0.00046793
251	0.00046757
7404	0.00046754
8228	0.00046736
3811	0.00046730
265	0.00046695
4808	0.00046686
3666	0.00046653
1102	0.00046647
2793	0.00046631
7167	0.00046609
9350	0.00046564
8125	0.00046506
8945	0.00046360
509	0.00046114
6408	0.00046111
1294	0.00045958
8450	0.00045862
5675	0.00045835
2174	0.00045760
1025	0.00045724
9433	0.00045676
8815	0.00045649
4693	0.00045593
4278	0.00045506
8653	0.00045473
742	0.00045459
6431	0.00045441
6232	0.00045313
9514	0.00045205
5802	0.00045183
7381	0.00045177
8835	0.00045141
6276	0.00045103
3328	0.00045084
7460	0.00045052
8486	0.00044967
3496	0.00044960
9364	0.00044955
7387	0.00044872
8865	0.00044823
9078	0.00044705
7015	0.00044697
9785	0.00044517
4458	0.00044443
8105	0.00044440
7938	0.00044401
9820	0.00044344
8753	0.00044181
8354	0.00044125
9083	0.00044105
9193	0.00044010
9106	0.00043992
6211	0.00043852
6620	0.00043838
4470	0.00043817
2009	0.00043791
3963	0.00043791
4902	0.00043729
5582	0.00043624
3273	0.00043584
1615	0.00043542
1380	0.00043532
9183	0.00043510
157	0.00043390
4967	0.00043332
1213	0.00043202
8871	0.00043190
8564	0.00043056
7566	0.00043023
6510	0.00042999
1525	0.00042978
9046	0.00042903
1468	0.00042852
5435	0.00042643
7501	0.00042620
6464	0.00042618
2068	0.00042611
7837	0.00042601
5654	0.00042591
7884	0.00042584
9865	0.00042553
5131	0.00042506
5672	0.00042416
9175	0.00042403
9121	0.00042394
8311	0.00042322
9990	0.00042307
6756	0.00042287
3965	0.00042286
2356	0.00042276
25	0.00042272
3583	0.00042266
8849	0.00042229
5147	0.00042181
2086	0.00041961
2292	0.00041943
9562	0.00041912
2852	0.00041868
8572	0.00041764
7797	0.00041736
9568	0.00041697
7792	0.00041678
1674	0.00041633
4586	0.00041585
8774	0.00041546
3228	0.00041521
3246	0.00041510
2868	0.00041503
8282	0.00041498
3012	0.00041476
8203	0.00041474
6536	0.00041471
5856	0.00041424
6364	0.00041384
713	0.00041375
6179	0.00041358
3006	0.00041259
8129	0.00041234
9780	0.00041189
9325	0.00041134
2604	0.00041123
